	gamma_T2	gamma_T2	gamma_T2	gamma_T2	gamma_T2	gamma_T2	gamma_T2	gamma_T2	gamma_T2	gamma_T2	gamma_T2	gamma_T2	gamma_T2	gamma_T2	gamma_T2	gamma_T3	gamma_T3	gamma_T3	gamma_T3	gamma_T3	gamma_T3	gamma_T3	gamma_T3	gamma_T3	gamma_T3	gamma_T3	gamma_T3	gamma_T3	gamma_T3	gamma_T3	rho_T2	rho_T2	rho_T2	rho_T2	rho_T2	rho_T2	rho_T2	rho_T2	rho_T2	rho_T2	rho_T2	rho_T2	rho_T2	rho_T2	rho_T2	rho_T3	rho_T3	rho_T3	rho_T3	rho_T3	rho_T3	rho_T3	rho_T3	rho_T3	rho_T3	rho_T3	rho_T3	rho_T3	rho_T3	rho_T3	tau_T2	tau_T2	tau_T2	tau_T2	tau_T2	tau_T2	tau_T2	tau_T2	tau_T2	tau_T2	tau_T2	tau_T2	tau_T2	tau_T2	tau_T2	tau_T3	tau_T3	tau_T3	tau_T3	tau_T3	tau_T3	tau_T3	tau_T3	tau_T3	tau_T3	tau_T3	tau_T3	tau_T3	tau_T3	tau_T3
	Rep1	Rep1	Rep1	Rep1	Rep1	Rep2	Rep2	Rep2	Rep2	Rep2	ave_Rep1_Rep2	ave_Rep1_Rep2	ave_Rep1_Rep2	ave_Rep1_Rep2	ave_Rep1_Rep2	Rep1	Rep1	Rep1	Rep1	Rep1	Rep2	Rep2	Rep2	Rep2	Rep2	ave_Rep1_Rep2	ave_Rep1_Rep2	ave_Rep1_Rep2	ave_Rep1_Rep2	ave_Rep1_Rep2	Rep1	Rep1	Rep1	Rep1	Rep1	Rep2	Rep2	Rep2	Rep2	Rep2	ave_Rep1_Rep2	ave_Rep1_Rep2	ave_Rep1_Rep2	ave_Rep1_Rep2	ave_Rep1_Rep2	Rep1	Rep1	Rep1	Rep1	Rep1	Rep2	Rep2	Rep2	Rep2	Rep2	ave_Rep1_Rep2	ave_Rep1_Rep2	ave_Rep1_Rep2	ave_Rep1_Rep2	ave_Rep1_Rep2	Rep1	Rep1	Rep1	Rep1	Rep1	Rep2	Rep2	Rep2	Rep2	Rep2	ave_Rep1_Rep2	ave_Rep1_Rep2	ave_Rep1_Rep2	ave_Rep1_Rep2	ave_Rep1_Rep2	Rep1	Rep1	Rep1	Rep1	Rep1	Rep2	Rep2	Rep2	Rep2	Rep2	ave_Rep1_Rep2	ave_Rep1_Rep2	ave_Rep1_Rep2	ave_Rep1_Rep2	ave_Rep1_Rep2
	transcripts	Mann-Whitney p-value	average phenotype of strongest 3	sgRNA count_MW	sgRNA count_avg	transcripts	Mann-Whitney p-value	average phenotype of strongest 3	sgRNA count_MW	sgRNA count_avg	transcripts	Mann-Whitney p-value	average phenotype of strongest 3	sgRNA count_MW	sgRNA count_avg	transcripts	Mann-Whitney p-value	average phenotype of strongest 3	sgRNA count_MW	sgRNA count_avg	transcripts	Mann-Whitney p-value	average phenotype of strongest 3	sgRNA count_MW	sgRNA count_avg	transcripts	Mann-Whitney p-value	average phenotype of strongest 3	sgRNA count_MW	sgRNA count_avg	transcripts	Mann-Whitney p-value	average phenotype of strongest 3	sgRNA count_MW	sgRNA count_avg	transcripts	Mann-Whitney p-value	average phenotype of strongest 3	sgRNA count_MW	sgRNA count_avg	transcripts	Mann-Whitney p-value	average phenotype of strongest 3	sgRNA count_MW	sgRNA count_avg	transcripts	Mann-Whitney p-value	average phenotype of strongest 3	sgRNA count_MW	sgRNA count_avg	transcripts	Mann-Whitney p-value	average phenotype of strongest 3	sgRNA count_MW	sgRNA count_avg	transcripts	Mann-Whitney p-value	average phenotype of strongest 3	sgRNA count_MW	sgRNA count_avg	transcripts	Mann-Whitney p-value	average phenotype of strongest 3	sgRNA count_MW	sgRNA count_avg	transcripts	Mann-Whitney p-value	average phenotype of strongest 3	sgRNA count_MW	sgRNA count_avg	transcripts	Mann-Whitney p-value	average phenotype of strongest 3	sgRNA count_MW	sgRNA count_avg	transcripts	Mann-Whitney p-value	average phenotype of strongest 3	sgRNA count_MW	sgRNA count_avg	transcripts	Mann-Whitney p-value	average phenotype of strongest 3	sgRNA count_MW	sgRNA count_avg	transcripts	Mann-Whitney p-value	average phenotype of strongest 3	sgRNA count_MW	sgRNA count_avg
gene																																																																																										
AARSD1	P1	0.6443355962749231	-0.026759109810840297	5	5	P2	0.20575436561379246	0.008101887756541434	5	5	P2	0.5025051232137778	0.0758524217658914	5	5	P2	0.6668217273054988	0.06553376731293502	5	5	P2	0.13800908009018695	0.011962152827898975	5	5	P2	0.2629266967342526	0.0712733807957157	5	5	P2	0.9238833168111487	-0.07814010177703867	5	5	P2	0.6338859175440965	0.326530159250987	5	5	P1	0.589681472793696	0.19982873453201297	5	5	P2	0.30629358946483665	-0.4850123137190272	5	5	P2	0.8725505214525313	0.16020988052118698	5	5	P2	0.43020029808143323	-0.3115226723638848	5	5	P2	0.8547182915517554	-0.07999440230704398	5	5	P1	0.39762410010432103	0.33221492191821844	5	5	P2	0.5760690487734395	0.08462507332140266	5	5	P2	0.38674575461008487	-0.14629348752911722	5	5	P1	0.5198879150949658	0.13090068481954203	5	5	P1	0.8380393498985464	0.017748913645833614	5	5
ABCF3	P1P2	0.5220157985651213	0.08660195132098752	5	5	P1P2	0.12401549758379415	-0.22759828721921926	5	5	P1P2	0.5889949013996189	-0.1342990353500732	5	5	P1P2	0.9585110377808043	-0.024566478867746808	5	5	P1P2	0.3535130076183768	-0.17109730109667062	5	5	P1P2	0.6579083938044915	-0.1276344936553533	5	5	P1P2	0.919324957072683	-0.013362617382139619	5	5	P1P2	0.08414490239771821	-1.1159539667304565	5	5	P1P2	0.21855165121117948	-0.7208094403705548	5	5	P1P2	0.6027934053541839	0.1432955101193967	5	5	P1P2	0.0605019097357805	-1.689667028147765	5	5	P1P2	0.18009701265686895	-0.820164781841148	5	5	P1P2	0.6455112274605717	0.2064113112732557	5	5	P1P2	0.013744054681554967	-0.7356674908754001	5	5	P1P2	0.2432036023877352	-0.4475987057599953	5	5	P1P2	0.501461586929868	0.10594692210526448	5	5	P1P2	0.013098193050891913	-0.6327304165382205	5	5	P1P2	0.16038466338349555	-0.31203767221009787	5	5
ABI2	P1P2	0.559413291458615	-0.2564030297322008	5	5	P1P2	0.2653797028064294	0.1624727607130283	5	5	P1P2	0.8502210911004728	-0.05261186348105159	5	5	P1P2	0.17011686308213259	-0.302049166702466	5	5	P1P2	0.21743561543002476	0.13689061977483763	5	5	P1P2	0.9552474931888407	-0.09358166532000245	5	5	P1P2	0.6189076232460302	0.23075004146520728	5	5	P1P2	0.225579712396075	-1.047619201455639	5	5	P1P2	0.5250653624295459	-0.40684977235701086	5	5	P1P2	0.42217139353806055	0.16806120113611536	5	5	P1P2	0.10968447229482053	-1.2310464628308708	5	5	P1P2	0.4395690933642523	-0.5462355561229889	5	5	P1P2	0.8335609445980522	-0.4385239805201188	5	5	P1P2	0.478797055302028	-0.1364212486041027	5	5	P1P2	0.5816725251479204	-0.2351195562643419	5	5	P1P2	0.5040725776088983	-0.28494535913331404	5	5	P1P2	0.3734060657285996	-0.22767020940243454	5	5	P1P2	0.3590658512536754	-0.3648063880522036	5	5
ABLIM1	ENST00000277895.5	0.4279986297604893	0.045348065517654246	5	5	ENST00000277895.5	0.34591460787111894	-0.15825372862872758	5	5	ENST00000277895.5	0.7459289314410598	-0.0432800969617474	5	5	ENST00000277895.5	0.7243241156588467	0.019162402189863117	5	5	ENST00000277895.5	0.6590940671702203	-0.1124166064701783	5	5	ENST00000277895.5	0.8947404243564379	-0.045442238036792613	5	5	ENST00000277895.5	0.14199178292230136	-1.2571837718906635	5	5	ENST00000277895.5	0.34354347452690637	0.5398859858100118	5	5	ENST00000277895.5	0.8560447137510369	-0.3475191834712359	5	5	ENST00000277895.5	0.07811580952952703	-1.1924817726774417	5	5	ENST00000277895.5	0.8151757075343742	-0.16258981028832112	5	5	ENST00000277895.5	0.504584285467821	-0.6711081149629559	5	5	ENST00000277895.5	0.2811592304436602	-0.7603759852419772	5	5	ENST00000277895.5	0.8386795541622835	0.05911964857961972	5	5	ENST00000277895.5	0.41898308191335143	-0.6571238058674207	5	5	ENST00000277895.5	0.13477496712661097	-0.7931734591610403	5	5	ENST00000277895.5	0.7771387433233528	-0.19880703418764192	5	5	ENST00000277895.5	0.15723591420971397	-0.48183676907382517	5	5
ABLIM3	P1P2	0.2767938853309183	0.13071938263416824	5	5	P1P2	0.789727287012497	-0.1276622495817512	5	5	P1P2	0.7011140693606935	0.07892334745824273	5	5	P1P2	0.30253058547797806	0.01322641326565649	5	5	P1P2	0.5316463825636166	-0.07118236852327732	5	5	P1P2	0.8902063948697514	-0.03658562253272798	5	5	P1P2	0.7518856694441359	0.1585237806581837	5	5	P1P2	0.6268772657390629	0.21922449039568762	5	5	P1P2	0.8709210886105251	0.14923637667659545	5	5	P1P2	0.6448259024403877	0.21377214244805945	5	5	P1P2	0.9664316451827195	-0.13814254863749129	5	5	P1P2	0.884027331402917	-0.045115024760221445	5	5	P1P2	0.8772722927480681	0.9630423409234959	5	5	P1P2	0.5952237864268066	-0.0857069035383347	5	5	P1P2	0.5940890277243709	0.36779017655823454	5	5	P1P2	0.8290879327797237	0.4667954925392149	5	5	P1P2	0.898305297715942	-0.22223827803769583	5	5	P1P2	0.6871985879483352	0.09518796939937087	5	5
ABT1	P1P2	0.823345068915159	0.03353403792631412	5	5	P1P2	0.8643708755804538	-0.044800536488256965	5	5	P1P2	0.7840554331155511	0.012505584600483793	5	5	P1P2	0.588430133971388	-0.049606659983366	5	5	P1P2	0.9545948725379395	-0.1032725763584574	5	5	P1P2	0.6644401701063123	-0.039346203724165134	5	5	P1P2	0.6033826919886625	0.5092670573025466	5	5	P1P2	0.6321306405006044	0.1089428288924924	5	5	P1P2	0.30240553242098633	0.10826744618690816	5	5	P1P2	0.2917026947514656	0.38838101284702975	5	5	P1P2	0.9200120622206229	0.21856747713462554	5	5	P1P2	0.5029795291832124	0.25985393688242425	5	5	P1P2	0.41381501884821237	0.540831050213232	5	5	P1P2	0.6443355962749231	-0.031653744320646014	5	5	P1P2	0.2629266967342526	0.12762279757079162	5	5	P1P2	0.45127132106142276	0.2282848883075835	5	5	P1P2	0.9129094884765157	-0.10238981358351495	5	5	P1P2	0.46818039398391054	0.08833123323069149	5	5
ACAP3	P1P2	0.5583112696430603	0.13458220288807402	5	5	P1P2	0.3425711955733468	-0.12428705949481822	5	5	P1P2	0.8297265989859678	0.05968721700417318	5	5	P1P2	0.8169751994495532	0.10379456570490224	5	5	P1P2	0.6192785755864141	-0.12353619173068604	5	5	P1P2	0.8036382294258775	0.04252928167619824	5	5	P1P2	0.1483312819752407	-1.130668548495728	5	5	P1P2	0.36793862024610324	-0.625670296942528	5	5	P1P2	0.060736802802956326	-0.8190506151144151	5	5	P1P2	0.30163458114756503	-0.8172237275143814	5	5	P1P2	0.36611910304466544	-0.9029220685493963	5	5	P1P2	0.07122482129728962	-0.8570298999355915	5	5	P1P2	0.45324251086632716	-0.9113917938335968	5	5	P1P2	0.3475940840844798	-0.5936319623098719	5	5	P1P2	0.20312467157963887	-0.9131601563366133	5	5	P1P2	0.5119483828296298	-0.4712600014606901	5	5	P1P2	0.478797055302028	-0.4873548038558903	5	5	P1P2	0.26502831150817474	-0.5900702298984549	5	5
