	T0	T0	T2	T2	T2_CIS	T2_CIS	T3	T3	T3_CIS	T3_CIS
	Rep1	Rep2	Rep1	Rep2	Rep1	Rep2	Rep1	Rep2	Rep1	Rep2
id										
AARSD1_+_41116733.23-P1	5813	5800	10493	9807	11762	6514	12244	6405	15453	3828
AARSD1_+_41132209.23-P2	1973	1948	811	3250	1665	965	500	4385	234	309
AARSD1_+_41132260.23-P2	2380	2349	7707	383	702	578	10154	88	453	208
AARSD1_+_41132306.23-P2	6669	7392	7049	11339	10826	11732	9663	13905	11462	5130
AARSD1_+_41132335.23-P2	5092	6178	4128	10185	3156	26569	3392	9549	835	29467
AARSD1_-_41116521.23-P1	6014	7005	4683	9016	5197	10067	3884	8389	3685	14012
AARSD1_-_41116538.23-P1	3063	3431	2163	9506	273	1943	690	17420	157	664
AARSD1_-_41116569.23-P1	3728	3970	4074	3211	4468	1709	5224	3307	1205	565
AARSD1_-_41116765.23-P1	4150	4208	2961	364	1537	7850	1586	267	1123	6837
AARSD1_-_41132355.23-P2	5216	5893	7032	15921	3444	6636	4466	22582	2504	5340
ABCF3_+_183903666.23-P1P2	2899	2232	2582	550	7486	278	1393	595	7660	45
ABCF3_+_183903820.23-P1P2	3341	2902	7604	1832	5302	397	7838	1417	4640	64
ABCF3_+_183903847.23-P1P2	6194	7116	9491	5140	6568	2834	6180	3243	6670	1483
ABCF3_+_183903872.23-P1P2	3408	3052	4113	3822	870	468	3032	4508	373	286
ABCF3_-_183903928.23-P1P2	3300	3847	2377	825	1496	371	1059	110	1145	82
ABI2_+_204192729.23-P1P2	4476	4415	3462	6469	1339	1705	1854	7779	652	950
ABI2_+_204192895.23-P1P2	2769	4126	4196	7159	1808	1169	2656	5418	303	361
ABI2_+_204192901.23-P1P2	3642	4525	4071	6330	6152	6443	2179	6247	5404	3035
ABI2_+_204193039.23-P1P2	5688	5988	6098	4798	12267	1653	3730	5058	11302	925
ABI2_-_204192963.23-P1P2	3189	3961	316	3399	303	2477	51	1809	125	1208
ABLIM1_+_116418018.23-ENST00000277895.5	3673	4447	2291	3152	504	3137	1032	2800	180	2500
ABLIM1_+_116418129.23-ENST00000277895.5	4372	5110	6035	5634	189	4496	5240	5223	42	2728
ABLIM1_+_116418171.23-ENST00000277895.5	3608	4415	5347	5765	1027	1364	4364	6603	436	96
ABLIM1_-_116418175.23-ENST00000277895.5	3346	3330	4005	1057	3402	5400	2180	473	1225	4045
ABLIM1_-_116418330.23-ENST00000277895.5	4641	6021	8714	1952	11641	3719	10062	936	9349	997
ABLIM3_+_148520930.23-P1P2	5494	5469	12770	9064	34013	3351	12921	9476	50459	1832
ABLIM3_+_148520962.23-P1P2	3853	3612	4006	1327	736	85	5454	685	264	12
ABLIM3_-_148520884.23-P1P2	3203	3754	4424	6246	1565	6236	3550	2850	477	2705
ABLIM3_-_148520914.23-P1P2	1233	1565	721	1431	30425	6370	129	529	27580	2053
ABLIM3_-_148520948.23-P1P2	6661	8567	18281	2574	1994	7503	18110	1834	2011	3959
ABT1_+_26596978.23-P1P2	4006	4220	3628	1870	6821	3089	1562	523	2563	779
ABT1_+_26597028.23-P1P2	4284	4270	4220	2604	2162	275	4268	942	2234	122
ABT1_+_26597060.23-P1P2	3990	5174	2933	4512	2041	15141	893	4925	2092	16768
ABT1_+_26597066.23-P1P2	4555	5523	3003	8750	24145	4568	2304	7889	20626	2344
ABT1_+_26597128.23-P1P2	6143	6002	19790	6871	5486	7412	16945	7745	2844	5317
ACAP3_+_1243301.23-P1P2	3817	4017	11508	4441	4656	3117	10437	3994	3648	1863
ACAP3_+_1243333.23-P1P2	1751	1943	2365	705	42	3662	1357	289	7	2015
ACAP3_+_1243491.23-P1P2	2383	3097	1464	1488	1228	495	680	1317	584	522
ACAP3_-_1243504.23-P1P2	2196	2362	1009	607	331	35	639	107	343	1
ACAP3_-_1243527.23-P1P2	4878	5217	13598	10636	10331	2013	18250	20853	10612	1890
ACD_+_67694237.23-P1P2	3891	3385	9925	4037	6892	545	12684	4102	3362	284
ACD_+_67694314.23-P1P2	6206	6154	5185	10234	1479	9274	2959	9261	338	8722
ACD_-_67694270.23-P1P2	7258	9129	11512	34465	3876	13317	18031	46852	2744	9847
ACD_-_67694284.23-P1P2	2629	2568	2009	1538	674	2293	869	471	818	1053
ACD_-_67694307.23-P1P2	4599	5686	6321	9356	9455	6525	8625	7202	13943	5158
ACRBP_-_6756655.23-P1P2	4164	4329	11898	3834	12764	1658	12931	4305	21587	1530
ACRBP_-_6756661.23-P1P2	5151	4702	11895	8013	9584	1666	11359	6151	4231	2430
ACRBP_-_6756664.23-P1P2	2431	2937	700	1320	1393	10159	169	1062	561	8765
ACRBP_-_6756689.23-P1P2	504	408	58	3	34	0	49	1	2	0
ACRBP_-_6756700.23-P1P2	1765	1859	722	1802	661	77	487	1628	282	8
ADAP1_+_994282.23-P1P2	5251	6636	3566	18069	3934	3291	2478	18828	3385	1713
ADAP1_+_994475.23-P1P2	3661	3756	2645	1557	5284	6723	1383	1495	1999	5647
ADAP1_+_994494.23-P1P2	5297	6124	3763	2093	1507	2385	3026	1223	424	854
ADAP1_+_994518.23-P1P2	4193	4876	2997	4671	849	5924	1840	5265	539	7032
ADAP1_-_994411.23-P1P2	6320	7235	6440	2978	9083	11229	8044	1421	10190	9815
ADARB1_+_46494230.23-P1P2	2455	2314	2912	285	2890	36	1436	80	2679	9
ADARB1_+_46494301.23-P1P2	4605	4497	2565	1886	5784	1201	2169	310	15668	267
ADARB1_+_46494364.23-P1P2	6045	7446	8110	8030	9357	8267	5710	11462	21077	10221
ADARB1_-_46494343.23-P1P2	3836	4125	3302	4634	789	2165	2089	3744	364	750
ADARB1_-_46494379.23-P1P2	6008	6021	2665	2970	6550	7344	1286	2204	5810	6716
ADAT1_+_75657293.23-P1P2	3825	4427	1615	4058	121	639	1059	4072	29	119
ADAT1_-_75657270.23-P1P2	5747	5522	2964	6484	4648	2069	1804	7093	3153	2192
ADAT1_-_75657284.23-P1P2	4898	5426	7449	8015	6833	9168	7281	4720	4286	5731
ADAT1_-_75657346.23-P1P2	1311	1220	479	252	49	5962	74	44	26	2478
ADAT1_-_75657354.23-P1P2	4287	6116	6416	7098	5032	4054	9507	5791	6462	3872
ADNP2_+_77866875.23-P1P2	5398	5573	12361	3720	5378	4382	20271	2764	4824	3970
ADNP2_+_77866879.23-P1P2	5191	5941	15297	10763	3049	7458	20343	13461	2788	5239
ADNP2_+_77867018.23-P1P2	5579	6451	4241	8447	2710	19051	1545	4085	3700	21245
ADNP2_+_77867050.23-P1P2	5611	6657	4521	2144	10422	4049	2819	596	10180	1950
ADNP2_-_77867068.23-P1P2	3687	5296	6954	4424	4894	694	10689	1178	2829	105
ADNP_+_49548061.23-P1P2	3481	3953	6638	3811	2219	7696	9152	2192	924	9092
ADNP_+_49548215.23-P1P2	3632	3923	6015	7884	10569	5094	6165	15685	7658	3424
ADNP_+_49548236.23-P1P2	6039	7204	16287	16178	10146	34161	17053	24225	3963	62884
ADNP_-_49548038.23-P1P2	2990	3472	655	934	379	86	201	28	71	10
ADNP_-_49548206.23-P1P2	2715	2457	1867	5016	959	895	396	4903	88	147
AEBP2_+_19592455.23-P1P2	4319	4636	5429	3065	1318	10103	5041	1289	755	5785
AEBP2_+_19592473.23-P1P2	5314	5871	5816	6029	8197	5967	4037	7115	7745	1511
AEBP2_-_19592388.23-P1P2	4159	3757	2317	3699	1312	2378	1899	2905	1947	1084
AEBP2_-_19592538.23-P1P2	3413	4113	982	10881	6008	5740	296	10290	8135	2411
AEBP2_-_19592586.23-P1P2	4634	5269	3587	2763	6378	1239	3553	2128	6013	1357
AES_+_3062633.23-P1P2	2413	2767	2741	1111	4963	113	3484	528	5173	15
AES_+_3062686.23-P1P2	4751	5182	7255	4309	9261	888	6658	1717	10336	198
AES_+_3062692.23-P1P2	4883	5037	12755	1898	26180	13406	9066	1160	22856	15382
AES_-_3062569.23-P1P2	2976	3370	1118	740	1137	91	314	815	236	5
AES_-_3062648.23-P1P2	6275	6952	16887	9309	3675	4339	18277	5481	1967	6277
AGGF1_+_76326070.23-P1P2	5055	5130	7629	2157	6009	1525	5430	1442	3987	222
AGGF1_+_76326122.23-P1P2	3341	3759	1678	1248	1095	102	386	470	623	40
AGGF1_+_76326196.23-P1P2	2732	3425	4934	5726	2257	4801	2564	5961	2392	3114
