	gamma_T2	gamma_T2	gamma_T2	gamma_T2	gamma_T2	gamma_T2	gamma_T2	gamma_T2	gamma_T2	gamma_T2	gamma_T2	gamma_T2	gamma_T2	gamma_T2	gamma_T2	gamma_T3	gamma_T3	gamma_T3	gamma_T3	gamma_T3	gamma_T3	gamma_T3	gamma_T3	gamma_T3	gamma_T3	gamma_T3	gamma_T3	gamma_T3	gamma_T3	gamma_T3	rho_T2	rho_T2	rho_T2	rho_T2	rho_T2	rho_T2	rho_T2	rho_T2	rho_T2	rho_T2	rho_T2	rho_T2	rho_T2	rho_T2	rho_T2	rho_T3	rho_T3	rho_T3	rho_T3	rho_T3	rho_T3	rho_T3	rho_T3	rho_T3	rho_T3	rho_T3	rho_T3	rho_T3	rho_T3	rho_T3	tau_T2	tau_T2	tau_T2	tau_T2	tau_T2	tau_T2	tau_T2	tau_T2	tau_T2	tau_T2	tau_T2	tau_T2	tau_T2	tau_T2	tau_T2	tau_T3	tau_T3	tau_T3	tau_T3	tau_T3	tau_T3	tau_T3	tau_T3	tau_T3	tau_T3	tau_T3	tau_T3	tau_T3	tau_T3	tau_T3
	Rep1	Rep1	Rep1	Rep1	Rep1	Rep2	Rep2	Rep2	Rep2	Rep2	ave_Rep1_Rep2	ave_Rep1_Rep2	ave_Rep1_Rep2	ave_Rep1_Rep2	ave_Rep1_Rep2	Rep1	Rep1	Rep1	Rep1	Rep1	Rep2	Rep2	Rep2	Rep2	Rep2	ave_Rep1_Rep2	ave_Rep1_Rep2	ave_Rep1_Rep2	ave_Rep1_Rep2	ave_Rep1_Rep2	Rep1	Rep1	Rep1	Rep1	Rep1	Rep2	Rep2	Rep2	Rep2	Rep2	ave_Rep1_Rep2	ave_Rep1_Rep2	ave_Rep1_Rep2	ave_Rep1_Rep2	ave_Rep1_Rep2	Rep1	Rep1	Rep1	Rep1	Rep1	Rep2	Rep2	Rep2	Rep2	Rep2	ave_Rep1_Rep2	ave_Rep1_Rep2	ave_Rep1_Rep2	ave_Rep1_Rep2	ave_Rep1_Rep2	Rep1	Rep1	Rep1	Rep1	Rep1	Rep2	Rep2	Rep2	Rep2	Rep2	ave_Rep1_Rep2	ave_Rep1_Rep2	ave_Rep1_Rep2	ave_Rep1_Rep2	ave_Rep1_Rep2	Rep1	Rep1	Rep1	Rep1	Rep1	Rep2	Rep2	Rep2	Rep2	Rep2	ave_Rep1_Rep2	ave_Rep1_Rep2	ave_Rep1_Rep2	ave_Rep1_Rep2	ave_Rep1_Rep2
	transcripts	Mann-Whitney p-value	average phenotype of strongest 3	sgRNA count_MW	sgRNA count_avg	transcripts	Mann-Whitney p-value	average phenotype of strongest 3	sgRNA count_MW	sgRNA count_avg	transcripts	Mann-Whitney p-value	average phenotype of strongest 3	sgRNA count_MW	sgRNA count_avg	transcripts	Mann-Whitney p-value	average phenotype of strongest 3	sgRNA count_MW	sgRNA count_avg	transcripts	Mann-Whitney p-value	average phenotype of strongest 3	sgRNA count_MW	sgRNA count_avg	transcripts	Mann-Whitney p-value	average phenotype of strongest 3	sgRNA count_MW	sgRNA count_avg	transcripts	Mann-Whitney p-value	average phenotype of strongest 3	sgRNA count_MW	sgRNA count_avg	transcripts	Mann-Whitney p-value	average phenotype of strongest 3	sgRNA count_MW	sgRNA count_avg	transcripts	Mann-Whitney p-value	average phenotype of strongest 3	sgRNA count_MW	sgRNA count_avg	transcripts	Mann-Whitney p-value	average phenotype of strongest 3	sgRNA count_MW	sgRNA count_avg	transcripts	Mann-Whitney p-value	average phenotype of strongest 3	sgRNA count_MW	sgRNA count_avg	transcripts	Mann-Whitney p-value	average phenotype of strongest 3	sgRNA count_MW	sgRNA count_avg	transcripts	Mann-Whitney p-value	average phenotype of strongest 3	sgRNA count_MW	sgRNA count_avg	transcripts	Mann-Whitney p-value	average phenotype of strongest 3	sgRNA count_MW	sgRNA count_avg	transcripts	Mann-Whitney p-value	average phenotype of strongest 3	sgRNA count_MW	sgRNA count_avg	transcripts	Mann-Whitney p-value	average phenotype of strongest 3	sgRNA count_MW	sgRNA count_avg	transcripts	Mann-Whitney p-value	average phenotype of strongest 3	sgRNA count_MW	sgRNA count_avg	transcripts	Mann-Whitney p-value	average phenotype of strongest 3	sgRNA count_MW	sgRNA count_avg
gene																																																																																										
AARSD1	P2	0.1568963301271787	0.1514358245553405	5	5	P2	0.5739112890725167	-0.06386356475239902	5	5	P2	0.38852057667582884	0.046431373923048795	5	5	P2	0.5992947902630349	0.13597987336172634	5	5	P2	0.4256084338260073	-0.09238995581851085	5	5	P2	0.9151393176849366	0.016638394060109415	5	5	P2	0.06537329297912663	-0.4660208253722318	5	5	P1	0.5015306039777634	-0.17811299961552265	5	5	P2	0.19349628659489737	-0.3312478011774269	5	5	P2	0.24670239967637775	-0.45536700779500966	5.0	5.0	P1	0.2835435852279058	-0.2976361924390177	5.0	5.0	P2	0.25473677793777794	-0.32808673934000165	5.0	5.0	P2	0.27599746293136895	-0.25307587954965977	5	5	P1	0.28624117063905796	-0.24385752775866973	5	5	P2	0.22134381082916688	-0.19714314838069225	5	5	P2	0.30671416100095106	-0.3000622921346095	5	5	P2	0.2670650551381174	-0.348649801289537	5	5	P2	0.1327634509605103	-0.3165957791850064	5	5
ABCF3	P1P2	0.12172924876789779	-0.13197589985798872	5	5	P1P2	0.8337940415870938	0.022227138820683317	5	5	P1P2	0.29033488279343567	-0.06686826423796799	5	5	P1P2	0.26565453103660674	-0.04380792442408763	5	5	P1P2	0.8305965820447154	-0.08719881610602222	5	5	P1P2	0.430864877161121	-0.06881123575822351	5	5	P1P2	0.42702007946904263	0.23331718296949108	5	5	P1P2	0.13912012465312773	-0.5695836885697741	5	5	P1P2	0.641986689818812	-0.1695452315546634	5	5	P1P2	0.8365469758045123	0.017880394497013185	5.0	5.0	P1P2	0.176890863741909	-0.36804110293368847	5.0	5.0	P1P2	0.5165057537271848	-0.1729468451641999	5.0	5.0	P1P2	0.9849586597480897	0.006645735060171363	5	5	P1P2	0.07899038939471763	-0.29689632762697765	5	5	P1P2	0.5220620080207263	-0.13077396515089837	5	5	P1P2	0.42133568630020024	0.005653897773674495	5	5	P1P2	0.09628625243176887	-0.38565527441438324	5	5	P1P2	0.17439710945098186	-0.1523090090492657	5	5
ABI2	P1P2	0.11160980699950292	-0.26181140040404965	5	5	P1P2	0.02683181902072139	-0.31669833726491786	5	5	P1P2	0.039569345839854116	-0.28925486883448376	5	5	P1P2	0.15051385544754847	-0.23901672097553472	5	5	P1P2	0.062443591671995785	-0.47394047957456714	5	5	P1P2	0.07198741242028131	-0.3564786002750509	5	5	P1P2	0.5264799481792857	-0.14746484433929102	5	5	P1P2	0.5387690945900081	-0.3239215029508385	5	5	P1P2	0.42558116575338545	-0.11241386304341809	5	5	P1P2	0.7155265789565317	-0.31729157136938474	5.0	5.0	P1P2	0.7265150104685856	0.12955136067874518	5.0	5.0	P1P2	0.8009427518434838	-0.07784715655237029	5.0	5.0	P1P2	0.11667879018663617	-0.548184928008777	5	5	P1P2	0.015290126738172203	-0.5495129870008933	5	5	P1P2	0.03487072303162948	-0.6813427115445742	5	5	P1P2	0.31021838606857144	-0.6585035075338456	5	5	P1P2	0.017411933405937108	-0.6826677538104647	5	5	P1P2	0.041169092042153646	-0.7756114235809023	5	5
ABLIM1	ENST00000277895.5	0.12391677058126725	0.17195854017082904	5	5	ENST00000277895.5	0.48802761990379506	0.004873058719631743	5	5	ENST00000277895.5	0.1657227940100272	0.13859199380579323	5	5	ENST00000277895.5	0.18179165859562452	0.13377809097166773	5	5	ENST00000277895.5	0.34881293412940917	0.03066969979511468	5	5	ENST00000277895.5	0.13403581495018335	0.04757919625408097	5	5	ENST00000277895.5	0.11562291780040655	-0.3310532922550307	5	5	ENST00000277895.5	0.09488729572217781	-0.41633544664712346	5	5	ENST00000277895.5	0.03591372741488313	-0.34351633206493865	5	5	ENST00000277895.5	0.1949969481658398	-0.3216481181739452	5.0	5.0	ENST00000277895.5	0.0991455146099745	-0.31689214915891123	5.0	5.0	ENST00000277895.5	0.03344268445150991	-0.2461027459030295	5.0	5.0	ENST00000277895.5	0.7024829478126658	-0.046483957658023434	5	5	ENST00000277895.5	0.29333675663603964	-0.2128970292625967	5	5	ENST00000277895.5	0.43906210527989	-0.13973183270528033	5	5	ENST00000277895.5	0.8376346196688762	-0.14800912355841928	5	5	ENST00000277895.5	0.36637337535896775	-0.16531871477625962	5	5	ENST00000277895.5	0.5425096741083995	-0.20594849716493926	5	5
ABLIM3	P1P2	0.7760816555091095	-0.024605699164978918	5	5	P1P2	0.6939897880081226	0.04539512916581224	5	5	P1P2	0.8395563665812333	-0.006603779192744105	5	5	P1P2	0.9764590544466684	-0.02961719432320234	5	5	P1P2	0.48699972797431446	-0.18234070426522078	5	5	P1P2	0.31021838628288867	-0.12070505414970917	5	5	P1P2	0.34615259408152255	-0.22988360196147017	5	5	P1P2	0.6125615724261093	0.2841770376918002	5	5	P1P2	0.8047170968669931	0.005876432839032571	5	5	P1P2	0.3882897471503074	-0.20507782778619535	5.0	5.0	P1P2	0.21809778363467192	0.3881643158989432	5.0	5.0	P1P2	0.8067079647765276	0.15359443578739088	5.0	5.0	P1P2	0.15761797351941143	-0.18613401819601796	5	5	P1P2	0.2474486785798572	0.18699476975954554	5	5	P1P2	0.5156881665048392	-0.056410290632635605	5	5	P1P2	0.1858474838751052	-0.10699240008136547	5	5	P1P2	0.8102013735753292	0.15018073691047365	5	5	P1P2	0.507778029477228	-0.06426517967018484	5	5
ABT1	P1P2	0.11996201500392391	-0.1940421534690171	5	5	P1P2	0.003596938438775028	-0.3989251116534977	5	5	P1P2	0.001627960165118776	-0.255591460429118	5	5	P1P2	0.11384081574694754	-0.15936163194853073	5	5	P1P2	0.0034487884067215605	-0.4597169235389725	5	5	P1P2	0.0013016994387414535	-0.2659598919221344	5	5	P1P2	0.19756044371381998	0.04921987202621538	5	5	P1P2	0.9336594608419553	0.0014390723201883244	5	5	P1P2	0.32266907221786956	-0.02601887776309027	5	5	P1P2	0.32078199779822114	-0.0058645789435487665	5.0	5.0	P1P2	0.23455525693620782	0.29898901583739446	5.0	5.0	P1P2	0.1165358040914019	0.045161747473259496	5.0	5.0	P1P2	0.9705762197593963	-0.24923106306238407	5	5	P1P2	0.01935888134431451	-0.7298199814023986	5	5	P1P2	0.271327493006275	-0.4436319800383031	5	5	P1P2	0.9803816755265061	-0.2849234435533822	5	5	P1P2	0.041495531291005326	-0.7653957517644994	5	5	P1P2	0.22633731954580627	-0.4434850496468858	5	5
ACAP3	P1P2	0.517808284442764	-0.16632767131471413	5	5	P1P2	0.05407340096140724	-0.3187875758174939	5	5	P1P2	0.029906051341533662	-0.20368917648965967	5	5	P1P2	0.18612023193904026	-0.20964737443711948	5	5	P1P2	0.05030093373623377	-0.3546558891377018	5	5	P1P2	0.018362831645599292	-0.26333494323921036	5	5	P1P2	0.2954026590383442	-0.3004735358843253	5	5	P1P2	0.15631722045902854	0.7289997792926695	5	5	P1P2	0.4361536622722063	0.20718792610164286	5	5	P1P2	0.39971350205973666	-0.20725330136263054	5.0	5.0	P1P2	0.07737091288674551	0.5603703318196545	5.0	5.0	P1P2	0.37720051666615984	0.16723913507349364	5.0	5.0	P1P2	0.034589200813170455	-0.6670355040284127	5	5	P1P2	0.4012716038622206	-0.041654949300584804	5	5	P1P2	0.02700145539675384	-0.3366689479196134	5	5	P1P2	0.11216429859873084	-0.8307770473056513	5	5	P1P2	0.5711226335642376	-0.040301141095191804	5	5	P1P2	0.2089095600366897	-0.4071602593609154	5	5
