	T0	T0	T2	T2	T2_CIS	T2_CIS	T3	T3	T3_CIS	T3_CIS
	Rep1	Rep2	Rep1	Rep2	Rep1	Rep2	Rep1	Rep2	Rep1	Rep2
id										
AARSD1_+_41116203.23-P1	6755	9292	10618	6502	8343	4764	7920	7647	3959	1157
AARSD1_+_41116412.23-P1	4157	4562	9744	5903	11833	1826	12633	3443	12953	994
AARSD1_+_41116417.23-P1	4395	6336	1889	4519	3900	5853	1162	3181	1938	3673
AARSD1_+_41132061.23-P2	4845	6216	16641	4406	1835	2857	26523	3302	660	518
AARSD1_+_41132078.23-P2	2534	2859	6430	1211	1825	2793	5606	1259	1049	1629
AARSD1_-_41116243.23-P1	5194	6051	5760	2056	11764	6903	7207	1978	12424	5902
AARSD1_-_41116425.23-P1	1908	2310	1337	1541	298	1029	466	1227	58	70
AARSD1_-_41132022.23-P2	3056	3262	3354	1764	2037	1465	1500	422	1713	214
AARSD1_-_41132037.23-P2	3956	5263	3406	4510	2297	6063	2033	3354	1047	3550
AARSD1_-_41132088.23-P2	7106	8466	8902	7559	5333	5571	5036	4634	3836	2251
ABCF3_+_183904008.23-P1P2	6852	9247	3877	3905	4105	3536	3339	1620	1255	939
ABCF3_-_183903980.23-P1P2	4590	6962	5530	7872	3794	3652	7398	6111	957	1306
ABCF3_-_183903991.23-P1P2	5103	5875	4486	3607	1549	1803	2658	4794	1039	842
ABCF3_-_183904021.23-P1P2	4500	6666	3066	7871	13933	4331	2313	6576	19597	2307
ABCF3_-_183904044.23-P1P2	4961	6524	3171	3327	4631	5943	1767	1502	2071	2332
ABI2_+_204193030.23-P1P2	6759	8114	7231	5696	13211	8512	5763	12506	14851	4884
ABI2_+_204193039.23-P1P2	3565	4713	704	825	238	1245	192	197	26	584
ABI2_+_204193079.23-P1P2	2481	2787	1026	427	604	349	1111	36	758	110
ABI2_+_204193082.23-P1P2	4867	6820	6845	4543	1855	2813	5091	2894	276	482
ABI2_-_204193288.23-P1P2	3281	3229	2070	1253	2074	914	1378	258	2469	283
ABLIM1_+_116417743.23-ENST00000277895.5	5876	8188	5731	6948	2380	3400	5235	6977	1256	1879
ABLIM1_+_116417800.23-ENST00000277895.5	2797	3566	2643	1056	1721	965	1944	573	463	327
ABLIM1_+_116417829.23-ENST00000277895.5	5200	5910	11584	6590	9840	4528	7630	8484	7190	1588
ABLIM1_+_116418018.23-ENST00000277895.5	5958	7873	14862	7603	5259	6782	16446	6692	7962	2846
ABLIM1_-_116417810.23-ENST00000277895.5	8239	9349	14248	13012	4596	9580	11648	12917	3705	7265
ABLIM3_+_148521081.23-P1P2	1129	1229	2303	651	417	1290	2411	22	249	137
ABLIM3_+_148521102.23-P1P2	4774	5949	2403	3699	2285	12223	685	2522	765	17211
ABLIM3_+_148521122.23-P1P2	5687	7229	4979	7795	2567	6095	5061	4585	1157	1913
ABLIM3_+_148521137.23-P1P2	7183	8755	7529	6834	2667	7708	8347	4032	771	4502
ABLIM3_-_148521229.23-P1P2	5804	6997	5925	9074	8776	7363	4088	6841	22741	4604
ABT1_+_26597184.23-P1P2	6234	6998	4284	2062	9355	2685	2284	694	6324	1903
ABT1_+_26597412.23-P1P2	4130	5054	1241	438	1596	916	1258	130	834	731
ABT1_-_26597263.23-P1P2	3793	5199	3563	1282	569	460	2410	360	66	177
ABT1_-_26597427.23-P1P2	4960	6745	6899	1247	12794	1027	5429	210	23711	171
ABT1_-_26597472.23-P1P2	8232	9452	4649	6693	7228	13446	2894	5290	7143	5333
ACAP3_+_1243258.23-P1P2	2873	3634	4056	1039	2448	1058	3356	208	2304	413
ACAP3_+_1243337.23-P1P2	3676	4596	2016	4204	2314	2870	1380	1896	2405	1107
ACAP3_-_1243095.23-P1P2	5926	7973	8295	1232	1743	5182	4218	555	1233	5086
ACAP3_-_1243221.23-P1P2	3784	4712	796	1083	829	2510	144	419	66	342
ACAP3_-_1243235.23-P1P2	1487	1532	1633	1134	396	4077	950	1668	97	8386
ACD_+_67694108.23-P1P2	3725	5393	444	1510	1064	2630	111	503	354	773
ACD_+_67694124.23-P1P2	7060	9670	536	1751	214	349	219	321	75	116
ACD_-_67694092.23-P1P2	4509	5177	140	187	205	254	7	10	9	9
ACD_-_67694143.23-P1P2	5898	6413	301	205	260	183	108	20	20	34
ACD_-_67694152.23-P1P2	4003	5441	1537	2202	146	7973	860	1665	23	2672
ACRBP_+_6756555.23-P1P2	10455	12481	11268	5617	7828	8770	9423	4583	3141	2062
ACRBP_+_6756569.23-P1P2	2935	4459	3390	2315	1495	10845	2747	1142	451	14690
ACRBP_+_6756572.23-P1P2	5943	6374	10436	5246	5461	7022	9904	11284	3289	6794
ACRBP_-_6756321.23-P1P2	5340	5385	6158	1619	2557	1887	2835	685	1994	1407
ACRBP_-_6756372.23-P1P2	4938	6833	1500	10327	4583	11193	596	5422	1444	3801
ADAP1_+_994248.23-P1P2	2081	2278	557	9	32	212	99	0	2	138
ADAP1_+_994276.23-P1P2	4418	6190	2347	3504	963	3620	933	2064	424	1651
ADAP1_+_994279.23-P1P2	4678	4791	1418	1072	3167	2756	1247	270	2276	1182
ADAP1_+_994282.23-P1P2	5113	6651	2456	4719	2390	3858	1743	4123	828	1550
ADAP1_-_994227.23-P1P2	4950	6773	4062	2168	2522	2901	2778	1045	2804	2162
ADARB1_+_46494884.23-P1P2	5164	6571	3331	2185	2717	1891	3593	1267	1134	704
ADARB1_+_46494897.23-P1P2	4036	4787	8910	4875	2148	2524	10871	3178	2197	907
ADARB1_-_46494380.23-P1P2	6363	7371	1920	4863	3154	4504	1021	2116	1759	2581
ADARB1_-_46494561.23-P1P2	5633	6741	5316	2051	4119	7318	3614	968	1958	2300
ADARB1_-_46494564.23-P1P2	3045	3057	14809	5004	4161	4453	17684	2316	1757	582
ADAT1_+_75656919.23-P1P2	1455	2485	538	323	1228	1755	160	110	302	896
ADAT1_+_75657082.23-P1P2	2956	4247	2293	2500	1582	2423	369	2821	1375	629
ADAT1_+_75657125.23-P1P2	3154	3925	688	1355	991	500	490	484	455	101
ADAT1_+_75657171.23-P1P2	6920	7937	8806	19954	6029	32595	7716	51856	8653	16611
ADAT1_-_75657141.23-P1P2	3973	4798	2398	1347	995	5572	502	225	974	2541
ADNP2_+_77867124.23-P1P2	4158	6264	2551	3184	1520	6031	1030	2232	514	993
ADNP2_+_77867421.23-P1P2	2132	2374	4672	608	486	1000	4496	409	443	497
ADNP2_-_77867203.23-P1P2	4607	6348	2110	5426	2694	8577	1481	6534	1436	10183
ADNP2_-_77867208.23-P1P2	5076	5925	2832	3702	2330	2197	2543	2345	1255	445
ADNP2_-_77867360.23-P1P2	3483	4021	3655	1827	3081	1620	2342	725	2137	968
ADNP_+_49547892.23-P1P2	2527	3341	274	1441	1598	1395	30	782	1301	654
ADNP_-_49547603.23-P1P2	5798	7161	6661	3701	9399	6747	4105	1593	5233	2351
ADNP_-_49547651.23-P1P2	4220	4824	3485	4564	9263	6943	1240	4766	4453	1348
ADNP_-_49547707.23-P1P2	4100	4945	2454	2049	1478	3768	763	395	524	1065
ADNP_-_49547964.23-P1P2	3696	5476	2562	6158	5596	14365	3904	5260	7298	6886
AEBP2_+_19592658.23-P1P2	3685	4110	1167	1723	143	1146	479	813	38	288
AEBP2_+_19592704.23-P1P2	6452	7874	8571	8042	5782	4729	4873	3040	1739	5299
AEBP2_-_19592657.23-P1P2	4191	5338	2901	2235	1195	1141	1183	770	905	482
AEBP2_-_19592666.23-P1P2	8374	10991	12423	15568	24739	9101	17248	33096	15992	6602
AEBP2_-_19592669.23-P1P2	8914	11240	23516	12097	6306	11434	46623	9616	7729	4747
AES_+_3061863.23-P1P2	6635	8620	7177	7829	1695	6197	6690	5950	566	4835
AES_+_3062291.23-P1P2	6015	6709	2855	3774	5630	3068	1606	2308	3329	945
AES_+_3062539.23-P1P2	4349	5146	5808	1617	1095	11207	4806	1659	397	41907
AES_-_3062476.23-P1P2	5648	7550	2160	8979	2630	2355	1337	7281	1410	1042
AES_-_3062479.23-P1P2	7031	10024	7718	11154	5740	7426	9886	5735	2291	9449
AGGF1_+_76326202.23-P1P2	3075	4593	2595	2030	2771	6795	519	922	1236	2664
AGGF1_+_76326273.23-P1P2	5739	7453	8940	9425	4194	11192	10848	8441	4252	33862
AGGF1_+_76326284.23-P1P2	7479	8630	6243	8915	4795	17691	6280	10997	2817	24140
