	gamma_10	gamma_10	gamma_10	gamma_10	gamma_10	gamma_10	gamma_10	gamma_10	gamma_10	gamma_10	gamma_10	gamma_10	gamma_10	gamma_10	gamma_10	gamma_10	gamma_10	gamma_20	gamma_20	gamma_20	gamma_20	gamma_20	gamma_20	gamma_20	gamma_20	gamma_20	gamma_20	gamma_20	gamma_20	gamma_20	gamma_20	gamma_20	gamma_20	gamma_20	gamma_30	gamma_30	gamma_30	gamma_30	gamma_30	gamma_30	gamma_30	gamma_30	gamma_30	gamma_30	gamma_30	gamma_30	gamma_30	gamma_30	gamma_30	gamma_30	gamma_30
	Rep1	Rep1	Rep1	Rep1	Rep1	Rep2	Rep2	Rep2	Rep2	Rep2	ave_Rep1_Rep2	ave_Rep1_Rep2	ave_Rep1_Rep2	ave_Rep1_Rep2	ave_Rep1_Rep2	ave_Rep1_Rep2	ave_Rep1_Rep2	Rep1	Rep1	Rep1	Rep1	Rep1	Rep2	Rep2	Rep2	Rep2	Rep2	ave_Rep1_Rep2	ave_Rep1_Rep2	ave_Rep1_Rep2	ave_Rep1_Rep2	ave_Rep1_Rep2	ave_Rep1_Rep2	ave_Rep1_Rep2	Rep1	Rep1	Rep1	Rep1	Rep1	Rep2	Rep2	Rep2	Rep2	Rep2	ave_Rep1_Rep2	ave_Rep1_Rep2	ave_Rep1_Rep2	ave_Rep1_Rep2	ave_Rep1_Rep2	ave_Rep1_Rep2	ave_Rep1_Rep2
	transcripts	Mann-Whitney p-value	average phenotype of strongest 3	sgRNA count_MW	sgRNA count_avg	transcripts	Mann-Whitney p-value	average phenotype of strongest 3	sgRNA count_MW	sgRNA count_avg	transcripts	Mann-Whitney p-value	average phenotype of strongest 3	mageck_lfc	mwp_mageck_pvalue	sgRNA count_MW	sgRNA count_avg	transcripts	Mann-Whitney p-value	average phenotype of strongest 3	sgRNA count_MW	sgRNA count_avg	transcripts	Mann-Whitney p-value	average phenotype of strongest 3	sgRNA count_MW	sgRNA count_avg	transcripts	Mann-Whitney p-value	average phenotype of strongest 3	mageck_lfc	mwp_mageck_pvalue	sgRNA count_MW	sgRNA count_avg	transcripts	Mann-Whitney p-value	average phenotype of strongest 3	sgRNA count_MW	sgRNA count_avg	transcripts	Mann-Whitney p-value	average phenotype of strongest 3	sgRNA count_MW	sgRNA count_avg	transcripts	Mann-Whitney p-value	average phenotype of strongest 3	mageck_lfc	mwp_mageck_pvalue	sgRNA count_MW	sgRNA count_avg
gene																																																			
ABCC10	ENSG00000124574	0.3018578515104199	-0.13974064015597729	10.0	10.0	ENSG00000124574	0.7753184569900933	-0.07636066580575698	10.0	10.0	ENSG00000124574	0.5780831611436853	-0.09125850686242358	-0.011100000000000018	0.288838001896903	10.0	10.0	ENSG00000124574	0.5715881682637756	-0.10328831752281498	10.0	10.0	ENSG00000124574	0.8920252221100361	-0.02435800196352972	10.0	10.0	ENSG00000124574	0.7330337352488814	-0.060517966184084955	0.5538533333333333	0.7131903729794982	10.0	10.0	ENSG00000124574	0.7732494722464915	-0.01618511373008269	10.0	10.0	ENSG00000124574	0.37850883791297996	0.014123133416721513	10.0	10.0	ENSG00000124574	0.4799995805879066	0.07851345853356374	0.9621466666666668	0.3146204329141957	10.0	10.0
ABCC6	ENSG00000091262	0.4231862784066357	0.02766569919935788	10.0	10.0	ENSG00000091262	0.4590910705408382	-0.17601662893491785	10.0	10.0	ENSG00000091262	0.9595677458944768	-0.10453109893156394	0.09398666666666665	0.670417802639265	10.0	10.0	ENSG00000091262	0.6518089995133438	-0.05581794964990885	10.0	10.0	ENSG00000091262	0.22072098845589472	-0.1905496064744495	10.0	10.0	ENSG00000091262	0.1773689612931194	-0.09873165568746928	-0.15830666666666665	0.42726856610372443	10.0	10.0	ENSG00000091262	0.34573513249856813	-0.038419992543035485	10.0	10.0	ENSG00000091262	0.21184688043138378	-0.12126877025199097	10.0	10.0	ENSG00000091262	0.1571170083296176	-0.08792072971375875	-0.28958666666666666	0.12661838928211813	10.0	10.0
ABCG4	ENSG00000172350	0.2791258619343395	-0.14013882483202542	10.0	10.0	ENSG00000172350	0.1444522291827843	-0.12773988811482484	10.0	10.0	ENSG00000172350	0.1160487517769108	-0.11652693283515973	-0.1946133333333334	0.05123294194146687	10.0	10.0	ENSG00000172350	0.8423849899709877	-0.09351816744140899	10.0	10.0	ENSG00000172350	0.173485572476057	-0.12031645224730832	10.0	10.0	ENSG00000172350	0.6590072763132765	-0.07920524075673681	-0.03674333333333335	0.6735910308228579	10.0	10.0	ENSG00000172350	0.5659460932105507	-0.07134393522182532	10.0	10.0	ENSG00000172350	0.4128735195860561	-0.08383585688172333	10.0	10.0	ENSG00000172350	0.7488912540374235	-0.02619259005403357	0.5837333333333333	0.17174321181582952	10.0	10.0
ABHD12	ENSG00000100997	0.6229446473634316	-0.27405177698882327	10.0	10.0	ENSG00000100997	0.5937363119191976	-0.10066578445723322	10.0	10.0	ENSG00000100997	0.4558209605579562	-0.06840112474061176	0.11277	0.9047802888308702	10.0	10.0	ENSG00000100997	0.45288335291798687	-0.018865802827455314	10.0	10.0	ENSG00000100997	0.19228227418204757	-0.06441598458092675	10.0	10.0	ENSG00000100997	0.19049420822360363	-0.08879545233997095	-0.06542000000000002	0.15217991832900496	10.0	10.0	ENSG00000100997	0.7394602034227405	-0.051054075063797826	10.0	10.0	ENSG00000100997	0.3713315779959865	-0.019432179462591275	9.0	9.0	ENSG00000100997	0.36972451237674697	-0.06113762986173316	-0.21917	0.12770272113680864	9.0	9.0
ACBD4	ENSG00000181513	0.01243893766449386	-0.1776043247719398	10.0	10.0	ENSG00000181513	0.030479601830356046	-0.1247698844734989	10.0	10.0	ENSG00000181513	0.003285995122304916	-0.1920297165988113	-0.24555666666666665	0.4366135873997634	10.0	10.0	ENSG00000181513	0.0005650729959324068	-0.2918569341929202	10.0	10.0	ENSG00000181513	0.37345114388541	0.004923266736366043	10.0	10.0	ENSG00000181513	0.010073436059092266	-0.22336632048718089	-0.15985000000000002	0.10484109527624738	10.0	10.0	ENSG00000181513	0.0029836987294463704	-0.27281274106736825	10.0	10.0	ENSG00000181513	0.3006004371998954	-0.0762694856529001	10.0	10.0	ENSG00000181513	0.022036994495685896	-0.2017286973901995	0.08083666666666667	0.45477724040434586	10.0	10.0
ACKR2	ENSG00000144648	0.1077462668294467	0.18432787366894723	10.0	10.0	ENSG00000144648	0.10953460713567807	-0.06807310539961671	10.0	10.0	ENSG00000144648	0.622012266596202	-0.028334035186774135	0.29222333333333333	0.9197291353998719	10.0	10.0	ENSG00000144648	0.28306359802891523	-0.07101997010012005	10.0	10.0	ENSG00000144648	0.6214421475092622	-0.0637990796889066	10.0	10.0	ENSG00000144648	0.7486157520567072	0.006039111089287276	0.45057333333333327	0.6379802398286215	10.0	10.0	ENSG00000144648	0.5083346090476693	0.05787497244251264	10.0	10.0	ENSG00000144648	0.5008350849437457	-0.05076014328600958	10.0	10.0	ENSG00000144648	0.6224316596406031	0.010968322737876712	1.1781333333333333	0.8704201166187036	10.0	10.0
AGPAT4	ENSG00000026652	0.11909617882057574	0.2405935789304651	10.0	10.0	ENSG00000026652	0.21469607979052308	-0.10991311766560997	10.0	10.0	ENSG00000026652	0.595275930089062	0.052785543259249106	0.59278	0.14605061689078744	10.0	10.0	ENSG00000026652	0.12496772342583985	0.20246874690761998	10.0	10.0	ENSG00000026652	0.7753184585387103	-0.12117601200426571	10.0	10.0	ENSG00000026652	0.4753114493247612	0.06228603279780651	0.78952	0.5343861272269879	10.0	10.0	ENSG00000026652	0.4720136061321567	0.09377135185841505	10.0	10.0	ENSG00000026652	0.17279612972329672	-0.16094323358031595	10.0	10.0	ENSG00000026652	0.8544482886705643	-0.01772589425192524	1.0834833333333334	0.8556024569869844	10.0	10.0
