	t0	t0	t1	t1	t2	t2	t3	t3
	Rep1	Rep2	Rep1	Rep2	Rep1	Rep2	Rep1	Rep2
sgId								
0Safe_safe_MP_204550.1000	1930	1796	1323	2619	879	2512	1760	1531
0Safe_safe_MP_204550.1001	2853	2714	3863	3065	3766	3550	3391	4205
0Safe_safe_MP_204550.1002	1311	944	783	665	1422	828	1372	360
0Safe_safe_MP_204550.1003	3859	3084	2373	3215	1803	3779	1491	4692
0Safe_safe_MP_204550.1004	2007	1655	1275	2726	926	3058	214	2668
0Safe_safe_MP_204550.1005	1579	1753	1481	1260	2552	789	3606	631
0Safe_safe_MP_204550.1006	1558	1290	765	893	645	713	1015	664
0Safe_safe_MP_204550.1007	2449	2580	1630	2498	2294	2498	5373	3060
0Safe_safe_MP_204550.1008	2248	2008	1981	2055	2177	1986	2604	2653
0Safe_safe_MP_204550.1009	1516	1571	1677	1454	836	1490	478	1492
0Safe_safe_MP_204550.1010	829	884	745	849	799	589	954	439
0Safe_safe_MP_204550.1011	822	829	495	806	675	817	727	619
0Safe_safe_MP_204550.1012	1662	1628	1267	2470	1650	2252	1251	2237
0Safe_safe_MP_204550.1013	3169	3066	2931	3371	3179	2888	3673	2096
0Safe_safe_MP_204550.1014	1986	1598	2571	2101	2953	2388	1353	1824
0Safe_safe_MP_204550.1015	1391	764	988	939	1253	1204	674	708
0Safe_safe_MP_204550.1016	3650	2555	2475	2383	2583	1596	3469	1181
0Safe_safe_MP_204550.1017	4460	3794	3777	4573	3838	4546	4799	4476
0Safe_safe_MP_204550.1018	742	634	719	728	794	656	514	731
0Safe_safe_MP_204550.1019	2448	2761	1966	1947	2604	1428	2535	681
0Safe_safe_MP_204550.1020	2780	2247	1864	2147	1474	1354	4506	779
0Safe_safe_MP_204550.1021	1693	1304	2500	985	1201	678	1668	1040
0Safe_safe_MP_204550.1022	4757	4114	3969	5035	4322	5031	4473	4512
0Safe_safe_MP_204550.1023	2043	1569	2591	1798	2094	1435	1720	1002
0Safe_safe_MP_204550.1024	2611	1970	2518	2409	2671	1591	2873	679
0Safe_safe_MP_204550.1025	1552	1585	1121	1522	419	2033	136	1295
0Safe_safe_MP_204550.1026	2900	2833	2742	3022	951	2689	1520	2025
0Safe_safe_MP_204550.1027	6464	5554	6569	5846	6517	6177	6365	5530
0Safe_safe_MP_204550.1028	1346	1180	934	1660	923	1281	1074	1163
0Safe_safe_MP_204550.1029	3948	4007	4678	3150	8128	2060	16197	2697
0Safe_safe_MP_204550.1030	5653	4803	3866	3431	4512	3296	5626	3371
0Safe_safe_MP_204550.1031	776	923	651	886	715	851	620	1075
0Safe_safe_MP_204550.1032	869	868	552	975	257	618	20	391
0Safe_safe_MP_204550.1033	3045	2017	1195	2370	653	1376	733	1892
0Safe_safe_MP_204550.1034	2275	1365	2543	1633	2705	1885	2427	1443
0Safe_safe_MP_204550.1035	4008	3222	6893	2860	8289	4008	10982	2387
0Safe_safe_MP_204550.1036	4688	4358	3993	4925	3750	4024	2719	3254
0Safe_safe_MP_204550.1037	3455	3016	4539	3259	4607	3178	5243	3830
0Safe_safe_MP_204550.1038	3308	2535	2071	2047	2373	1652	2793	1391
0Safe_safe_MP_204550.1039	1175	1057	655	1521	354	2124	253	2205
0Safe_safe_MP_204550.1040	1449	1242	1112	504	871	195	342	132
0Safe_safe_MP_204550.1041	1354	1461	825	990	812	476	394	384
0Safe_safe_MP_204550.1042	50	47	0	21	0	90	0	28
0Safe_safe_MP_204550.1043	2430	2161	2376	3467	1904	3130	1493	3144
0Safe_safe_MP_204550.1044	2103	2004	1910	1723	1495	1780	1396	1393
0Safe_safe_MP_204550.1045	1914	1493	830	2185	817	2558	482	2145
0Safe_safe_MP_204550.1046	4277	3658	3971	3633	4076	3541	3369	4878
0Safe_safe_MP_204550.1047	2939	2620	2756	3643	2967	3147	2396	3030
0Safe_safe_MP_204550.1048	4125	4178	4087	3559	3798	4160	4929	3816
0Safe_safe_MP_204550.1049	3575	3160	5613	3367	5786	4542	5829	2353
0Safe_safe_MP_204550.1050	3886	3287	3492	2399	3378	2720	1100	1425
0Safe_safe_MP_204550.1051	2606	1850	1468	1360	1666	1421	1323	1293
0Safe_safe_MP_204550.1052	639	585	737	427	124	316	21	461
0Safe_safe_MP_204550.1053	3082	2588	2943	2780	1840	2767	1822	2694
0Safe_safe_MP_204550.1054	3121	2715	1917	1737	2012	1742	2409	1053
0Safe_safe_MP_204550.1055	2103	1480	1726	1679	767	1545	458	916
0Safe_safe_MP_204550.1056	2935	1928	1474	3241	1615	2687	1383	1587
0Safe_safe_MP_204550.1057	1700	1811	1509	1591	2307	1508	3346	999
0Safe_safe_MP_204550.1058	7099	6170	5324	5200	3694	4806	3507	3945
0Safe_safe_MP_204550.1059	1567	1462	2481	1192	1464	751	1727	1022
0Safe_safe_MP_204550.1060	1582	1607	955	1073	668	1486	1604	2140
0Safe_safe_MP_204550.1061	2374	1941	1429	2361	955	1500	1569	1227
0Safe_safe_MP_204550.1062	1201	1088	1151	631	810	351	1317	180
0Safe_safe_MP_204550.1063	2160	1915	1708	2131	2791	1664	5937	2109
0Safe_safe_MP_204550.1064	2297	1873	2059	1618	1656	1642	1792	1961
0Safe_safe_MP_204550.1065	1938	2213	1183	1109	537	1039	385	723
0Safe_safe_MP_204550.1066	3860	3861	2978	4114	1641	3676	2554	2336
0Safe_safe_MP_204550.1067	1754	1785	1470	1232	730	1167	1056	752
